iter	Passed	Remaining
0	137	137587
1	139	69546
2	141	47045
3	143	35706
4	145	28862
5	146	24283
6	149	21221
7	151	18784
8	153	16906
9	156	15473
10	157	14178
11	159	13114
12	161	12230
13	163	11496
14	164	10816
15	166	10222
16	167	9695
17	169	9257
18	171	8831
19	172	8451
20	173	8106
21	175	7791
22	176	7515
23	178	7267
24	180	7027
25	181	6803
26	183	6603
27	184	6418
28	186	6237
29	187	6064
30	188	5907
31	190	5760
32	191	5620
33	193	5490
34	194	5363
35	195	5244
36	197	5134
37	198	5028
38	199	4924
39	201	4829
40	202	4735
41	204	4655
42	205	4573
43	207	4499
44	208	4422
45	209	4348
46	211	4283
47	212	4218
48	213	4152
49	215	4091
50	216	4031
51	218	3989
52	220	3939
53	221	3885
54	223	3831
55	224	3783
56	226	3742
57	227	3694
58	228	3646
59	229	3601
60	231	3556
61	232	3523
62	235	3498
63	236	3459
64	237	3422
65	239	3388
66	240	3354
67	242	3319
68	243	3289
69	244	3254
70	246	3222
71	247	3193
72	249	3162
73	250	3132
74	251	3103
75	253	3076
76	254	3051
77	255	3024
78	257	2997
79	258	2971
80	259	2945
81	261	2923
82	261	2892
83	263	2869
84	264	2845
85	265	2822
86	266	2798
87	267	2775
88	269	2754
89	270	2734
90	271	2714
91	272	2693
92	274	2674
93	276	2660
94	277	2641
95	278	2623
96	279	2604
97	280	2585
98	282	2567
99	283	2552
100	284	2535
101	286	2518
102	287	2502
103	288	2486
104	289	2469
105	291	2456
106	292	2441
107	293	2425
108	294	2410
109	296	2396
110	298	2387
111	299	2373
112	300	2358
113	301	2344
114	302	2330
115	304	2317
116	305	2304
117	306	2292
118	307	2279
119	309	2266
120	310	2253
121	311	2240
122	312	2230
123	314	2219
124	315	2208
125	316	2197
126	317	2184
127	319	2174
128	320	2163
129	321	2152
130	322	2141
131	324	2130
132	325	2119
133	326	2110
134	327	2101
135	329	2091
136	330	2082
137	331	2072
138	333	2063
139	344	2119
140	346	2109
141	347	2097
142	348	2088
143	349	2079
144	351	2070
145	352	2061
146	353	2052
147	354	2043
148	356	2035
149	357	2027
150	359	2018
151	360	2010
152	361	2001
153	362	1993
154	364	1984
155	365	1976
156	366	1969
157	368	1961
158	369	1953
159	370	1945
160	371	1936
161	372	1929
162	374	1921
163	375	1914
164	376	1907
165	378	1900
166	379	1895
167	381	1888
168	382	1882
169	384	1875
170	385	1869
171	387	1863
172	388	1856
173	389	1849
174	390	1843
175	392	1837
176	393	1831
177	395	1825
